State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MT,57638,61314,65680,66566,69486,70795,72116,64908,62835,78205,90601,91096,87020,93117,81667,81190,75412,71595,72686,69114,61453,53029,52782,46619,47098,47312,41148,39561,42872,46671,44378,46719,46615,54265,53315,59571,63251,61699,61398,63624,69590,66483,70992,70048,68567,71089,75135,75077,77645,76635,72888,79470,75234,82298,80063,77443,77589,83319,90776
NC,47032,52291,58346,64539,70932,78245,89442,100822,117794,140204,154856,164420,167831,165215,143722,116889,102996,73905,83695,133751,155156,154326,146819,141086,148744,138375,140301,153261,156550,166835,166744,172818,186905,192530,195307,212010,222106,223419,222659,224763,240729,215600,243144,227387,232214,237525,230169,244475,249654,252729,308710,311189,367948,445018,462289,516026,540271,520670,599321
ND,27356,29310,32045,32283,33390,32437,31864,32049,33317,32944,33731,34618,37604,33206,35530,36862,41177,37650,39067,29236,24037,35891,29108,27302,31631,29838,26567,26018,30189,31630,33529,41619,38260,42388,45369,47689,51588,59283,51428,58962,58512,62583,66927,61455,61245,54960,55683,62188,65746,57565,70046,77752,77469,87224,94352,106128,110816,118195,136856
NE,140430,144566,149324,145771,160545,164719,195864,187907,202938,209613,224114,225463,226358,230780,223253,217521,197442,188426,162693,168959,159491,135279,135612,126963,131911,123864,103999,107737,119906,118673,109175,113955,104626,122981,124857,133690,133842,132141,131125,121368,127600,124057,121175,119754,116045,120141,131443,153523,172886,165436,169620,173666,161774,179619,180097,170377,173001,176428,197098
NH,2952,3124,3431,3607,3817,4133,4197,4522,4208,5826,6796,7658,8015,8120,8391,7707,7919,7617,8204,8699,9663,10445,10280,9857,10815,10916,10569,12317,13334,14209,14474,14226,17004,17087,19976,20137,19445,21249,19338,20496,26397,24848,26146,56475,63924,73022,64738,64866,74025,62049,62612,72778,74336,55649,58785,70742,59638,53633,51471
NJ,144132,159189,180307,197097,209714,219196,236816,261542,278430,316113,331247,335264,329642,309709,282201,251669,332467,255522,236852,269934,351039,403386,387306,417954,428258,389090,363009,432356,425050,483170,458050,510226,640629,667134,714059,720662,725720,742031,705462,743561,626484,585826,620750,636180,645017,625881,566905,640629,635200,638792,671474,677923,670970,712265,805697,779349,794239,734148,799551
NM,207301,218948,247090,239911,226697,224253,247390,280382,286329,276591,292522,291726,311897,274018,273397,255637,294878,242912,225451,223092,231330,205434,213350,184595,169781,162312,144532,164588,185246,205131,251470,227349,211096,224999,221479,219476,233557,261881,241406,231312,259018,259626,229691,225220,229164,225352,227661,239858,252831,247947,246201,251838,249815,252867,256056,260038,259158,249354,281230
NV,12883,16419,18141,20681,25579,29395,36305,36822,39177,46700,56868,71965,75223,77967,67689,65355,71205,74534,66305,85539,62020,78744,49891,44693,44749,41630,35784,41705,48370,65577,66888,68175,81224,87532,104950,112502,126894,135497,154656,159981,194126,181256,181010,191050,221648,236007,257595,262547,274915,284007,267808,255970,281432,282245,261902,312602,316653,305292,310839
NY,434127,450630,491055,520712,527890,558658,645684,602670,653282,698046,725813,731597,707277,703023,641925,585536,604276,567877,576482,633562,755879,775672,793099,739849,811341,784737,749938,801915,813134,870928,895361,917236,1033951,1023167,1095583,1295400,1230771,1358091,1267065,1308656,1279693,1205883,1227224,1131362,1126605,1107220,1120200,1214362,1205144,1166620,1224485,1247757,1260950,1315282,1392378,1396693,1336455,1276946,1393724
OH,724824,746456,784630,826138,852659,909391,975841,994595,1018464,1063953,1077151,1112130,1174203,1131760,1114904,978885,1031075,867837,950973,920390,911335,890359,837111,772675,814353,765373,749750,747101,837521,848316,776588,799328,839324,865610,872832,923946,968562,938245,843871,873157,928425,838022,862535,878930,862912,861477,771312,836185,823936,771303,810958,849076,869934,946162,1059480,1032214,994415,1014699,1212277
OK,319270,316051,416403,490988,522805,480079,449319,460163,507884,558754,616279,631152,649909,625808,681130,678851,770752,787694,788658,844294,738931,694455,692328,655366,669277,603855,570749,617551,611171,620318,628222,589960,565655,600099,595671,586432,587957,573479,583964,550768,546706,505220,522530,556306,555273,600011,644381,677472,711379,681062,697351,676910,712411,682277,667360,711393,736164,692388,834567
OR,31941,35011,39190,46731,57979,59990,69324,73999,83504,92598,99572,105437,115326,114331,102365,114184,95830,75567,90025,97905,82324,78887,73941,69794,81473,85492,72534,82497,89168,111810,111727,127782,127165,141799,152931,152113,188211,193773,239271,246999,230965,235636,206813,215107,238052,239539,229731,260240,274659,254837,242914,203607,220578,244265,226472,245897,249829,262537,271310
PA,540094,547651,568742,609513,632666,652906,702888,701546,741600,791217,797877,828583,856316,811496,732721,670085,731356,682372,688256,756079,792780,801954,714089,662626,699730,646939,631912,659058,692733,714975,680696,667168,717325,731808,739126,761505,771202,730778,667233,713570,727484,669073,700579,717593,723325,719255,684824,780240,778379,839666,909263,1000509,1079497,1175538,1304101,1313380,1354340,1404236,1513195
RI,12253,13227,14277,15343,16145,17036,17385,19251,21574,23503,25620,26201,22966,20888,24090,23453,20966,25964,23339,27526,28210,29845,28878,30060,32640,30860,27118,36936,31618,34853,40452,78091,117915,76632,112094,103527,127189,120532,134035,120720,91787,98571,89824,80339,74352,82460,78517,90259,91220,94877,95710,102465,98435,88274,91374,96514,88471,94728,104745
SC,60581,63060,73118,78478,82101,90513,100873,104561,132104,145896,164305,160638,148156,157128,135291,125900,152416,141633,121336,121479,146922,145189,101043,104376,111248,100198,101506,108620,115342,119856,134106,137441,141785,145626,148867,156021,154066,158683,164881,167978,165091,147173,190717,151920,169519,178397,181973,182201,175858,197419,225961,235465,250482,236943,236058,284022,284225,285627,336824
SD,25392,26724,28372,25084,27528,26884,28256,27846,28959,33995,36464,31959,34214,31283,32044,32534,39168,36097,35395,25611,24029,22100,25064,23583,24862,25454,23409,21361,24711,25938,25456,26733,27045,31718,31290,34776,37430,36803,33374,36009,38130,37040,41536,43925,41762,42853,40861,54100,65453,66317,72926,73973,71501,84527,83919,83370,85021,85339,95547
TN,151740,166703,173967,179197,191178,211142,236752,241965,243425,257524,261784,270841,283375,300079,265374,224065,218483,208401,189201,233860,233335,227106,212133,199086,211305,196735,194016,206990,220884,228568,227525,234603,249246,263161,254082,264889,289382,291844,287447,286375,280679,265461,263691,265807,238761,238400,230047,229520,238441,223019,263365,267929,281007,284750,313887,322468,336341,331634,403547
TX,2815483,2831993,2959563,3044428,3040492,3181456,3404262,3638596,3836859,4024717,4203877,4482576,4531777,4746155,4584002,4046930,4074690,4254885,4329773,4131399,4226105,4052341,3503025,3335519,3556198,3514373,3312929,3435413,3665187,3886116,3877833,3824190,3768324,3925166,3885073,4037539,4268665,4231566,4377957,4138086,4550106,4384479,4444508,4177143,4039787,3621139,3544789,3626526,3653462,3481133,3689581,3800578,3964124,4131225,4060591,4263856,4151067,3992170,4564089
UT,72441,79168,87938,88494,99071,99810,95740,97068,101626,110888,114377,113876,116399,116335,115206,117952,138603,100999,113322,120980,124990,109703,110526,118449,124247,123750,99706,106906,117778,123414,126913,142458,132362,149255,146416,166860,168059,172248,177960,169255,173439,167582,172366,163527,164154,168770,197894,231125,237414,223646,229078,230672,232630,258661,251649,242848,250199,231145,253522
VA,68431,73034,79884,86240,91963,98615,125287,119364,125708,132739,140072,147758,159705,156669,146811,123625,125855,120734,136935,136958,161015,155379,155040,147232,148750,144897,146664,165253,170234,180848,192084,188719,221204,248973,261606,284332,270581,259936,271542,287330,278198,246654,266981,272436,285757,311736,283497,331110,310740,330625,385931,383527,424050,433573,439012,526503,572141,596715,666987
VT,0,0,0,0,0,0,906,1374,1674,2391,2679,3066,3817,4212,4785,4005,3700,4025,3819,4398,3951,4352,4340,4324,4829,4958,4954,5113,5494,6064,6678,6988,7573,7225,7282,7263,7466,8314,7828,8129,10552,8014,8401,8451,8720,8406,8064,8876,8667,8681,8502,8679,8290,9746,10858,12248,12385,12302,14227
WA,67207,72805,84281,93433,113935,116216,124827,135245,148065,153481,158242,165279,179823,207952,191311,171236,154881,149077,133338,165950,135466,131189,114412,111802,131970,139983,121793,136092,150595,167988,167616,179395,180769,229616,263176,264474,283909,268141,303307,302262,297569,322413,240494,255839,269572,272167,271034,279429,307085,319739,294871,272261,271947,327840,320167,327738,324929,350870,334776
WI,93792,117658,141294,156163,173946,204093,229393,253737,278560,324186,344241,354746,326921,373480,386865,372097,320512,354397,375286,372258,354672,327533,315752,301791,307516,311449,281637,281600,319683,332749,311237,333845,334868,352383,360445,385342,408101,404959,372082,385142,397553,363022,388007,397869,385999,415583,376559,403947,415109,392485,376627,399247,410305,454050,479396,476969,501042,504796,565280
WV,155554,168291,159207,163925,172374,176111,179195,157423,189957,176295,186535,183553,204916,191905,186565,164297,157204,150605,156607,152059,147624,154468,136141,120214,130959,125018,121128,123734,131544,139427,129005,118823,137666,144246,155098,157816,164286,170349,151873,147675,157926,150543,155536,135367,129358,124984,126316,124555,119617,118643,121780,124935,140133,152880,180222,191059,188491,199299,222889
WY,52828,59326,61189,55041,55437,54805,62891,69619,75649,96068,112526,117938,128728,110445,95363,81434,82478,78354,79758,87157,73114,73130,91105,85642,89951,86363,78780,86362,86728,86892,101316,103129,130703,110499,112252,103848,107588,107907,116505,101660,105975,103990,117387,120433,111878,112863,112929,145985,147129,147220,154759,161776,158546,156110,142268,126421,132478,158373,174859
US,12385366,12926392,13730841,14419107,15297642,15779457,17005781,17964988,19204569,20657964,21692710,22365248,22682497,22595346,21729561,19977076,20381227,19972477,20067662,20687615,20383954,19928435,18515242,17347750,18502834,17843043,16718431,17749685,18562882,19715929,19752485,20147768,20843610,21376406,21870095,22832593,23262444,23477148,23015631,23025697,23907237,22835551,23582195,22891393,22988315,22631800,22292657,23735125,23898175,23487297,24633507,25014983,26138351,26844986,27438655,28241055,28452762,28132131,31159340
