State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NE,25731,26176,26827,28725,27888,26875,28917,30397,33907,35087,36665,37273,40329,40719,39836,39745,43800,43882,46260,42254,36076,33588,35308,37150,34726,35229,35515,37273,40063,38539,37980,37211,37797,37586,38734,39475,43386,42966,45366,45930,42038,40831,42685,43564,44222,42990,43115,43528,42302,41928,46365,44435,44664,45042,45709,45561,45917,45822,47209
NH,14856,15723,16859,17569,17274,17183,19148,19872,20751,23008,24696,26308,27128,26713,24850,24694,28574,28500,28486,24615,23904,22053,20810,20468,24061,23584,27915,29931,30198,31362,28673,26515,26647,27016,27831,27822,28772,29393,31060,32066,31596,31104,32780,36892,37711,35374,32127,32042,31627,30589,29399,29445,27785,29123,31268,30881,29799,30929,31602
NJ,165934,168227,180070,184358,187846,187284,200652,216939,227585,237864,249328,246087,269616,274440,247642,223939,237278,239887,239820,231307,219998,205085,211658,210154,227327,213342,226338,227749,225479,225120,202348,202621,202307,194694,209966,206517,202274,204791,201489,210526,215601,216284,213366,207037,210544,222179,216642,230236,224998,195286,200546,206807,185140,188299,189651,191771,187728,176296,180516
NM,20325,20473,21782,22385,24014,24127,23797,23898,27177,28186,29601,29925,33090,36026,36043,36955,37608,39528,39956,40143,37937,39428,34784,38118,38401,35061,34664,36056,36342,37356,41013,45306,45631,45650,43425,40620,38266,40629,42718,44969,43151,44799,45226,45901,47199,47110,49632,53176,45471,43292,43344,44769,44835,44840,46208,46208,45927,48500,49979
NV,10134,11490,12526,13244,13918,12963,13226,13992,15627,16109,16700,17695,18934,20221,19909,21070,21091,23102,26897,25300,26715,24088,23699,25467,24886,24975,26057,28197,30391,32181,31079,31962,32730,34879,36712,37837,40842,39339,40744,41930,43448,45888,43814,44625,48280,51169,54031,53645,49533,45907,44690,41421,41920,43546,44861,43804,47944,50236,51012
NY,297538,317839,327678,331243,329747,366023,384410,406819,418028,438371,457335,474401,492380,505494,460171,446175,475917,478327,474849,414691,372505,334826,311288,283445,277631,296994,316039,327287,333081,328648,315450,295902,280429,278957,268176,261149,272474,264886,270834,275024,289574,292651,282478,316129,330800,325323,286871,289871,278410,263662,257097,240316,242299,240012,250809,250996,253819,251137,260175
OH,143859,139683,146363,149227,155776,166366,170979,173297,186647,192543,196053,196527,211050,221125,216575,219398,234957,245888,249731,265742,250463,231100,218689,215628,209652,206053,198766,207551,203896,210044,200328,194695,202953,208304,211134,211140,221373,225093,223486,237048,233915,233968,238017,246550,242618,240292,242083,242156,235017,218475,220272,216779,212792,216724,217107,219547,219013,216912,217464
OK,47803,48538,51462,53561,53779,55209,57089,58912,63397,65210,68583,69251,73977,77462,76075,78585,82011,85342,90145,86443,82565,80891,82831,85899,84815,85338,76433,76276,78473,80501,78485,79703,85774,84462,86281,79906,84898,84586,85505,92343,94185,105714,100935,99774,97394,104817,110981,103928,101227,95184,99404,97992,99107,97667,102790,101328,101876,104965,102851
OR,37866,38778,40616,41816,44232,44235,46718,46837,50076,52257,52665,55606,60530,61356,57006,54984,56270,60887,64691,65315,60254,59911,60865,55594,57831,57248,58598,60055,64040,63566,62345,64723,66248,65763,66335,65263,65901,64869,69767,71494,69156,64771,67392,65808,67505,68994,70331,69807,67770,67313,65672,64123,62584,62585,63591,63600,64908,65846,66720
PA,197008,193925,201717,206782,210256,219246,225928,230507,242981,254998,268595,274219,291193,292063,282578,261149,287768,303482,303447,288469,256535,232585,214706,220764,230040,220558,230397,240699,244174,244341,235286,228386,232202,236874,242176,237546,235662,238317,243864,243739,255164,259400,255219,263875,269710,273552,264041,261379,261861,240810,240040,231336,221580,225720,229650,226335,222630,232787,233596
